Category,Type,Description,Learned?,Priority,Notes
Model Size vs Latency,GenAI,Bigger models = better accuracy but slower inference,,,
Compute Cost vs Performance,GenAI,Better performance = higher compute cost,,,
Accuracy vs Coverage,ML,Higher accuracy reduces coverage,,,
Speed vs Quality,ML,Lower latency reduces precision,,,
Rule-based vs Learning-based,Classical AI,Deterministic rules vs probabilistic models,,,
Complexity vs Interpretability,ML,Simple models are more explainable,,,
Fine-Tuning vs Prompt Engineering,GenAI,Train vs engineer prompts for task alignment,,,
Retrieval Depth vs Latency,GenAI,More docs retrieved increases latency,,,
Context Window vs Cost,GenAI,Longer context increases cost,,,
Trust vs Autonomy,GenAI,Autonomous agents require guardrails,,,
Exploration vs Exploitation,ML,Try new models vs optimize known,,,
Data Volume vs Label Quality,ML,More data isn't useful if bad quality,,,
Transfer Learning vs Custom,ML,Use pretrained vs custom models,,,
Online vs Offline Evaluation,ML,Offline tests differ from live user behavior,,,
Single vs Multi-Model,ML,One large model vs multiple specialized,,,
Temperature vs Randomness,GenAI,Higher temperature = more creativity,,,
Recall vs Precision,ML,Recall vs false positive risk,,,
Data Freshness vs Stability,ML,Real-time data vs stable batch data,,,
Privacy vs Performance,ML,Anonymization reduces accuracy,,,
GPU Scaling vs Throughput,ML,More GPUs improve speed but cost more,,,
Determinism vs Personalization,GenAI,Consistency vs personalization,,,
Retraining Frequency vs Stability,ML,Frequent retraining vs model stability,,,
Eval Automation vs Manual,GenAI,Automation vs human oversight,,,
